file,dataset,subclass,type
Plate1_Blank_SwabPERU_RA3_01_10011,urbanization,urbanization,blank
Plate1_Blank_SwabPERU_RA4_01_10012,urbanization,urbanization,blank
Plate1_Empty_RG8_01_10008,urbanization,urbanization,blank
Plate1_RH1_01_10098,urbanization,Urbanization-City,sample
Plate1_RH2_01_10099,urbanization,Urbanization-City,sample
Plate1_RH3_01_10100,urbanization,Urbanization-City,sample
Plate1_RH4_01_10101,urbanization,Urbanization-City,sample
Plate1_RH5_01_10102,urbanization,Urbanization-City,sample
Plate1_RH6_01_10103,urbanization,Urbanization-City,sample
Plate1_RH7_01_10104,urbanization,Urbanization-City,sample
Plate1_RH8_01_10105,urbanization,Urbanization-City,sample
Plate1_RH9_01_10106,urbanization,Urbanization-City,sample
Plate2_RA1_01_10121,urbanization,Urbanization-Jungle,sample
Plate2_RA10_01_10130,urbanization,Urbanization-Jungle,sample
Plate2_RA11_01_10131,urbanization,Urbanization-Jungle,sample
Plate2_RA12_01_10132,urbanization,Urbanization-Jungle,sample
Plate2_RA2_01_10122,urbanization,Urbanization-Jungle,sample
Plate2_RA3_01_10123,urbanization,Urbanization-Jungle,sample
Plate2_RA4_01_10124,urbanization,Urbanization-Jungle,sample
Plate2_RA5_01_10125,urbanization,Urbanization-Jungle,sample
Plate2_RA6_01_10126,urbanization,Urbanization-Jungle,sample
Plate2_RA7_01_10127,urbanization,Urbanization-Jungle,sample
Plate2_RA8_01_10128,urbanization,Urbanization-Jungle,sample
Plate2_RA9_01_10129,urbanization,Urbanization-Jungle,sample
Plate2_RB1_01_10135,urbanization,Urbanization-Jungle,sample
Plate2_RB10_01_10144,urbanization,Urbanization-Jungle,sample
Plate2_RB11_01_10145,urbanization,Urbanization-Jungle,sample
Plate2_RB12_01_10146,urbanization,Urbanization-Jungle,sample
Plate2_RB2_01_10136,urbanization,Urbanization-Jungle,sample
Plate2_RB3_01_10137,urbanization,Urbanization-Jungle,sample
Plate2_RB4_01_10138,urbanization,Urbanization-Jungle,sample
Plate2_RB5_01_10139,urbanization,Urbanization-Jungle,sample
Plate2_RB6_01_10140,urbanization,Urbanization-Jungle,sample
Plate2_RB7_01_10141,urbanization,Urbanization-Jungle,sample
Plate2_RB8_01_10142,urbanization,Urbanization-Jungle,sample
Plate2_RB9_01_10143,urbanization,Urbanization-Jungle,sample
Plate2_RC1_01_10149,urbanization,Urbanization-Jungle,sample
Plate2_RC10_01_10159,urbanization,Urbanization-Jungle,sample
Plate2_RC11_01_10160,urbanization,Urbanization-Jungle,sample
Plate2_RC12_01_10161,urbanization,Urbanization-Jungle,sample
Plate2_RC2_01_10150,urbanization,Urbanization-Jungle,sample
Plate2_RC3_01_10151,urbanization,Urbanization-Jungle,sample
Plate2_RC4_01_10152,urbanization,Urbanization-Jungle,sample
Plate2_RC5_01_10154,urbanization,Urbanization-Jungle,sample
Plate2_RC6_01_10155,urbanization,Urbanization-Jungle,sample
Plate2_RC7_01_10156,urbanization,Urbanization-Jungle,sample
Plate2_RC8_01_10157,urbanization,Urbanization-Jungle,sample
Plate2_RC9_01_10158,urbanization,Urbanization-Jungle,sample
Plate2_RD1_01_10164,urbanization,Urbanization-Jungle,sample
Plate2_RD10_01_10173,urbanization,Urbanization-Jungle,sample
Plate2_RD11_01_10174,urbanization,Urbanization-Jungle,sample
Plate2_RD12_01_10175,urbanization,Urbanization-Jungle,sample
Plate2_RD2_01_10165,urbanization,Urbanization-Jungle,sample
Plate2_RD3_01_10166,urbanization,Urbanization-Jungle,sample
Plate2_RD4_01_10167,urbanization,Urbanization-Jungle,sample
Plate2_RD5_01_10168,urbanization,Urbanization-Jungle,sample
Plate2_RD6_01_10169,urbanization,Urbanization-Jungle,sample
Plate2_RD7_01_10170,urbanization,Urbanization-Jungle,sample
Plate2_RD8_01_10171,urbanization,Urbanization-Jungle,sample
Plate2_RD9_01_10172,urbanization,Urbanization-Jungle,sample
Plate2_RE1_01_10178,urbanization,Urbanization-Jungle,sample
Plate2_RE10_01_10187,urbanization,Urbanization-Rural,sample
Plate2_RE11_01_10188,urbanization,Urbanization-Rural,sample
Plate2_RE12_01_10189,urbanization,Urbanization-Rural,sample
Plate2_RE2_01_10179,urbanization,Urbanization-Jungle,sample
Plate2_RE3_01_10180,urbanization,Urbanization-Jungle,sample
Plate2_RE4_01_10181,urbanization,Urbanization-Jungle,sample
Plate2_RE5_01_10182,urbanization,Urbanization-Rural,sample
Plate2_RE6_01_10183,urbanization,Urbanization-Rural,sample
Plate2_RE7_01_10184,urbanization,Urbanization-Rural,sample
Plate2_RE8_01_10185,urbanization,Urbanization-Rural,sample
Plate2_RE9_01_10186,urbanization,Urbanization-Rural,sample
Plate2_RF1_01_10192,urbanization,Urbanization-Rural,sample
Plate2_RF10_01_10201,urbanization,Urbanization-Rural,sample
Plate2_RF11_01_10202,urbanization,Urbanization-Rural,sample
Plate2_RF12_01_10203,urbanization,Urbanization-Rural,sample
Plate2_RF2_01_10193,urbanization,Urbanization-Rural,sample
Plate2_RF3_01_10194,urbanization,Urbanization-Rural,sample
Plate2_RF4_01_10195,urbanization,Urbanization-Rural,sample
Plate2_RF5_01_10196,urbanization,Urbanization-Rural,sample
Plate2_RF6_01_10197,urbanization,Urbanization-Rural,sample
Plate2_RF7_01_10198,urbanization,Urbanization-Rural,sample
Plate2_RF8_01_10199,urbanization,Urbanization-Rural,sample
Plate2_RF9_01_10200,urbanization,Urbanization-Rural,sample
Plate2_RG1_01_10206,urbanization,Urbanization-Rural,sample
Plate2_RG10_01_10215,urbanization,Urbanization-Rural,sample
Plate2_RG11_01_10216,urbanization,Urbanization-Rural,sample
Plate2_RG12_01_10217,urbanization,Urbanization-Rural,sample
Plate2_RG2_01_10207,urbanization,Urbanization-Rural,sample
Plate2_RG3_01_10208,urbanization,Urbanization-Rural,sample
Plate2_RG4_01_10209,urbanization,Urbanization-Rural,sample
Plate2_RG5_01_10210,urbanization,Urbanization-Rural,sample
Plate2_RG6_01_10211,urbanization,Urbanization-Rural,sample
Plate2_RG7_01_10212,urbanization,Urbanization-Rural,sample
Plate2_RG8_01_10213,urbanization,Urbanization-Rural,sample
Plate2_RG9_01_10214,urbanization,Urbanization-Rural,sample
Plate2_RH1_01_10220,urbanization,Urbanization-Rural,sample
Plate2_RH10_01_10229,urbanization,Urbanization-Rural,sample
Plate2_RH11_01_10230,urbanization,Urbanization-Rural,sample
Plate2_RH12_01_10231,urbanization,Urbanization-Rural,sample
Plate2_RH2_01_10221,urbanization,Urbanization-Rural,sample
Plate2_RH3_01_10222,urbanization,Urbanization-Rural,sample
Plate2_RH4_01_10223,urbanization,Urbanization-Rural,sample
Plate2_RH5_01_10224,urbanization,Urbanization-Rural,sample
Plate2_RH6_01_10225,urbanization,Urbanization-Rural,sample
Plate2_RH7_01_10226,urbanization,Urbanization-Rural,sample
Plate2_RH8_01_10227,urbanization,Urbanization-Rural,sample
Plate2_RH9_01_10228,urbanization,Urbanization-Rural,sample
Plate3_RA1_01_10239,urbanization,Urbanization-Rural,sample
Plate3_RA10_01_10248,urbanization,Urbanization-Rural,sample
Plate3_RA11_01_10249,urbanization,Urbanization-Rural,sample
Plate3_RA12_01_10250,urbanization,Urbanization-Rural,sample
Plate3_RA2_01_10240,urbanization,Urbanization-Rural,sample
Plate3_RA3_01_10241,urbanization,Urbanization-Rural,sample
Plate3_RA4_01_10242,urbanization,Urbanization-Rural,sample
Plate3_RA5_01_10243,urbanization,Urbanization-Rural,sample
Plate3_RA6_01_10244,urbanization,Urbanization-Rural,sample
Plate3_RA7_01_10245,urbanization,Urbanization-Rural,sample
Plate3_RA8_01_10246,urbanization,Urbanization-Rural,sample
Plate3_RA9_01_10247,urbanization,Urbanization-Rural,sample
Plate3_RB1_01_10251,urbanization,Urbanization-Rural,sample
Plate3_RB10_01_10260,urbanization,Urbanization-Town,sample
Plate3_RB11_01_10261,urbanization,Urbanization-Town,sample
Plate3_RB12_01_10262,urbanization,Urbanization-Town,sample
Plate3_RB2_01_10252,urbanization,Urbanization-Rural,sample
Plate3_RB3_01_10253,urbanization,Urbanization-Rural,sample
Plate3_RB4_01_10254,urbanization,Urbanization-Town,sample
Plate3_RB5_01_10255,urbanization,Urbanization-Town,sample
Plate3_RB6_01_10256,urbanization,Urbanization-Town,sample
Plate3_RB7_01_10257,urbanization,Urbanization-Town,sample
