"","cluster.index","keep_test","3DMM","3DMM-Blank","Urbanization-Blank","Urbanization-City","Urbanization-Jungle","Urbanization-Rural","Urbanization-Town"
"1",1232,FALSE,0,0,0,9968,0,0,0
"2",3695,FALSE,0,0,0,170560,0,0,0
"3",3696,FALSE,0,0,0,63856,0,0,0
"4",3714,FALSE,0,0,0,0,0,49592,0
"5",3744,FALSE,0,0,0,56000,0,0,0
"6",5594,FALSE,0,0,0,350172,0,0,0
"7",5651,FALSE,0,0,0,0,0,37452,0
"8",5738,FALSE,0,0,0,97420,0,0,0
"9",5792,FALSE,0,0,0,81428,0,0,0
"10",14551,FALSE,0,0,0,14720,0,0,0
"11",15176,FALSE,0,0,0,17116,0,0,0
"12",15285,FALSE,0,0,0,25992,0,0,0
"13",17649,FALSE,0,0,0,16548,0,0,0
"14",18928,FALSE,0,0,0,12196,0,0,0
"15",19049,FALSE,0,0,0,17928,0,0,0
"16",19213,FALSE,0,0,0,16172,0,0,0
"17",19322,FALSE,0,0,0,16136,0,0,0
"18",20684,FALSE,835602.8,0,0,0,0,0,0
"19",20686,FALSE,1078485.3,287810,0,0,0,0,0
"20",21583,FALSE,1543833,382134,0,0,0,0,0
"21",23208,FALSE,109196469.9,9343689.2,0,0,0,0,0
"22",23438,FALSE,6661598.3,2189563,0,0,0,0,0
"23",23445,FALSE,0,0,0,0,31668,0,0
"24",23639,FALSE,6821293,0,0,0,0,0,0
"25",23640,FALSE,2547734,0,0,0,0,0,0
"26",23762,FALSE,0,0,0,189968,0,0,0
"27",24333,FALSE,0,0,0,612804,176980,221860,1078096
"28",24341,FALSE,0,0,0,1528776,0,69704,325164
"29",24393,FALSE,0,0,0,197064,0,0,65460
"30",24489,FALSE,0,0,0,23680,84120,0,67548
"31",24532,FALSE,0,0,0,130236,0,0,0
"32",25354,FALSE,0,0,0,38920,0,0,0
"33",25383,FALSE,0,0,0,25832,0,0,0
"34",25720,FALSE,0,0,0,171208,0,0,0
"35",25732,FALSE,1591340,2371234,0,0,0,0,0
"36",25751,FALSE,0,0,9672,46068,70244,34060,38004
"37",26051,FALSE,0,0,0,388204,0,0,39296
"38",26074,FALSE,0,0,0,388204,0,0,0
"39",26160,FALSE,0,0,0,269428,0,38692,57696
"40",26211,FALSE,4075524,0,0,0,0,0,0
"41",26762,FALSE,0,0,0,10884,0,0,0
"42",27850,FALSE,0,0,0,10908,0,0,0
"43",30559,FALSE,0,0,0,14844,0,0,0
"44",31331,FALSE,0,0,0,11908,0,8352,0
"45",31444,FALSE,0,0,0,0,20516,0,42812
"46",31512,FALSE,0,0,0,101320,0,0,0
"47",31515,FALSE,0,0,0,195164,0,0,0
"48",31519,FALSE,0,0,0,204208,0,0,0
"49",31520,FALSE,13100804.4,798270,0,0,0,0,0
"50",31521,FALSE,3330214,853444,0,0,0,0,0
"51",31528,FALSE,476142,0,0,0,0,0,0
"52",34618,FALSE,0,0,0,19512,0,0,0
"53",34892,FALSE,0,0,0,197820,0,0,0
"54",35142,FALSE,0,0,0,104580,0,0,0
"55",35637,FALSE,0,0,0,77428,0,0,0
"56",36284,FALSE,0,0,0,29652,0,0,0
"57",36850,FALSE,0,0,0,28856,0,0,0
"58",37265,FALSE,0,0,0,27160,0,0,0
"59",37762,FALSE,0,0,0,63220,0,0,0
"60",37907,FALSE,0,0,0,26016,0,0,0
"61",38148,FALSE,0,0,0,24108,0,0,0
"62",40242,FALSE,281592,0,0,0,0,0,0
"63",43466,FALSE,0,0,0,50296,0,0,0
"64",43581,FALSE,0,0,0,32752,0,0,0
"65",43706,FALSE,531650,0,0,0,0,0,0
"66",44545,FALSE,0,0,0,90204,0,0,0
"67",45602,FALSE,0,0,0,26404368,16930468,12784376,10809772
