"feature.ID","Airlock","Columbus","JLP","JPM","Node 1","Node 2","Node 3","PMM","US Lab"
"3686",10,24,14,37,47,30,56,32,45
"2845",1,5,0,0,2,3,6,2,2
"3516",3,15,6,12,16,19,20,11,17
"828",0,3,1,2,4,6,6,3,2
"3325",9,24,16,25,46,30,49,17,28
"213",0,3,1,8,15,7,11,6,12
"985",1,1,1,4,1,1,1,1,0
"1298",1,3,0,2,4,3,4,2,5
"20711",0,2,2,2,9,4,9,2,3
"20454",2,1,0,7,9,6,4,1,9
"20189",0,7,4,9,15,6,16,5,9
"281",2,6,6,10,17,5,12,5,11
"17633",0,1,1,5,14,14,15,5,6
"16370",2,5,4,3,6,3,10,6,6
"20499",2,4,2,1,7,5,7,2,10
"20122",1,5,1,5,17,6,10,6,14
"19518",1,3,2,2,6,4,12,4,9
"19676",2,7,5,5,5,6,11,5,7
"18669",0,6,0,6,5,4,9,6,11
"21233",0,5,1,10,7,10,8,6,8
"19192",2,5,3,10,8,8,14,7,6
"17745",2,2,0,5,6,7,5,3,5
"16350",3,8,4,15,19,6,20,10,13
"21444",0,0,0,2,1,0,0,0,0
"19729",2,10,5,11,16,11,16,7,13
"19174",6,5,8,20,27,15,30,8,17
"20193",3,9,3,9,20,14,19,10,12
"19922",1,6,1,7,11,12,14,4,10
"20763",1,4,2,0,4,5,7,1,6
"20496",2,6,1,7,12,9,19,5,15
"21173",0,1,0,3,0,1,4,2,1
"1738",5,11,7,22,24,14,28,10,22
"2118",6,5,5,28,24,20,29,14,24
"1163",9,31,22,56,71,52,65,30,50
"464",16,45,23,55,78,61,91,48,61
"326",14,35,18,39,57,45,78,40,54
"19668",4,6,5,5,15,13,19,11,10
"18126",0,1,1,3,2,0,3,2,1
"19123",4,10,6,10,28,7,23,11,12
"18699",1,4,1,1,10,3,6,4,7
"20754",0,5,2,9,11,9,10,7,14
"20859",0,1,0,4,1,0,5,3,2
"20500",1,3,2,5,9,6,8,2,4
"19973",1,5,4,3,6,3,19,6,5
"20205",2,3,4,4,3,3,7,1,3
"19658",1,5,5,5,9,17,17,4,7
"18799",3,6,8,19,13,11,26,5,17
"19276",2,8,5,8,10,11,18,5,10
"18465",3,2,3,11,13,9,19,7,13
"1215",2,13,6,34,44,25,30,10,25
"1674",4,19,10,27,44,33,31,18,37
"312",8,27,8,34,52,40,58,33,33
"33",1,6,3,3,2,3,8,1,4
"21025",1,2,0,5,1,5,3,2,2
"20735",0,0,1,0,0,2,2,1,0
"20623",0,1,0,1,3,2,5,1,0
"20146",1,6,2,3,2,4,6,5,6
"20274",0,1,2,6,7,4,10,1,3
"19866",2,1,2,2,11,4,6,1,6
"19721",0,7,2,7,6,15,14,2,4
"19550",1,3,3,10,6,6,12,3,11
"19319",2,4,3,7,11,3,12,4,5
"18878",4,9,6,13,7,11,17,6,13
"18260",0,3,4,5,7,6,9,3,7
"18496",0,4,1,5,8,2,10,5,5
"17251",1,2,4,3,8,7,9,5,3
"17970",2,2,0,11,15,5,12,9,8
"16570",2,9,1,2,11,7,10,9,14
"2447",13,40,23,58,73,63,101,42,63
"1564",10,27,13,37,39,33,59,34,37
"30",1,5,1,2,2,2,6,3,3
"21118",0,4,0,5,3,1,4,4,2
"21449",0,3,0,4,4,3,5,4,9
"20790",1,6,2,0,1,3,3,1,4
"20414",1,5,2,9,8,1,9,3,0
"19987",2,9,1,9,11,8,17,4,13
"19503",3,5,4,4,11,7,10,9,6
"21106",2,5,8,6,10,7,14,4,11
"18230",1,1,0,3,3,2,2,0,3
"18996",5,16,8,15,20,12,22,14,17
"21437",0,1,0,3,4,0,2,4,7
"1091",0,2,2,1,10,3,4,1,3
"435",5,16,11,25,37,16,54,13,27
"861",5,9,12,12,13,25,24,9,12
"293",5,9,10,13,15,12,25,9,13
"1032",6,13,7,14,21,11,21,10,25
"1276",3,14,7,11,14,15,27,8,17
"640",9,16,10,26,34,23,45,17,34
"1846",0,0,0,1,2,0,1,0,3
"639",1,1,1,4,5,4,2,3,1
"21613",0,0,1,0,1,0,3,3,3
"20815",0,0,1,1,1,0,4,0,1
"1245",0,0,0,0,2,2,3,2,2
"19921",0,6,4,7,8,5,10,3,5
"2681",0,0,0,0,2,0,1,0,0
"20327",1,1,1,4,1,2,6,3,5
"19269",0,4,3,5,12,5,13,6,4
"19678",1,8,4,7,4,8,5,5,7
"21056",0,3,1,1,2,2,2,1,1
"20280",0,1,2,1,3,2,2,2,2
"19858",1,6,6,8,5,7,10,3,8
"20198",0,0,0,0,1,0,2,0,1
"19439",2,7,2,4,8,9,13,6,9
"18297",2,2,0,3,4,4,6,1,1
"19031",1,3,1,4,4,6,5,0,5
"18540",1,2,0,3,10,1,1,1,0
"17265",0,3,1,0,0,0,1,2,1
"1052",2,4,6,4,14,9,11,3,10
"1586",0,2,2,3,7,3,5,3,3
"2232",0,0,1,0,4,4,0,1,1
"2769",0,1,0,1,3,3,2,0,3
"193",0,0,0,1,2,0,5,1,1
"16387",4,5,9,10,8,5,14,4,8
"19499",1,2,3,5,5,3,4,4,3
"17369",1,2,4,19,20,13,18,6,13
"21163",2,11,0,12,15,15,16,5,8
"131",2,4,3,11,9,6,9,9,13
"21111",2,7,5,10,9,5,14,3,5
"1796",1,3,7,8,8,14,20,11,12
"2042",0,5,1,3,4,7,9,3,5
"1069",3,2,3,4,8,7,12,8,5
"2407",3,2,0,6,12,3,6,4,2
"2753",4,9,3,16,20,11,19,12,13
"5779",13,49,27,67,84,68,101,51,71
"5038",3,15,3,17,22,22,41,7,26
"4227",0,3,0,3,4,0,4,1,3
"6794",10,13,11,26,33,19,31,21,21
"8226",0,9,1,10,18,10,16,6,13
"2380",11,19,18,36,38,32,42,16,35
"1788",7,14,13,37,34,26,29,17,26
"21394",4,4,5,6,6,10,15,3,13
"19995",0,1,0,0,0,2,1,0,1
"17570",1,11,4,17,14,27,31,11,12
"20733",0,1,2,5,6,5,5,5,5
"17762",4,18,15,30,35,33,51,19,23
"16279",1,3,1,3,2,5,8,2,6
"21157",3,5,5,11,11,16,16,8,12
"298",3,5,6,10,9,9,16,4,8
"20696",1,4,2,2,3,3,5,0,3
"20581",0,1,0,1,0,0,0,0,2
"17605",2,8,6,19,18,30,34,11,11
"16284",0,1,0,1,0,0,0,0,2
"19716",3,6,2,6,10,11,21,5,15
"20343",3,8,1,5,11,7,18,4,9
"18679",5,17,8,10,20,14,32,10,21
"21224",2,8,3,10,12,11,18,10,4
"20633",2,2,2,2,7,6,13,6,4
"20222",4,2,2,3,5,2,7,8,3
"20121",0,1,0,0,5,2,2,1,1
"19856",1,5,6,10,7,6,12,5,2
"19437",2,3,4,17,10,8,20,10,18
"18676",1,6,1,4,13,5,13,4,3
"17740",0,2,0,5,3,4,9,3,4
"20610",0,1,0,1,2,4,1,3,3
"17579",0,4,1,2,2,3,3,3,4
"16458",3,4,6,15,17,13,8,13,6
"2742",1,4,3,9,9,8,9,5,5
"2147",3,7,1,5,9,6,13,2,7
"20029",0,0,0,3,1,4,3,0,0
"20622",0,2,0,4,1,5,4,1,1
"17552",0,3,0,9,5,5,6,7,7
"21568",0,0,2,0,0,0,1,0,0
"21168",2,4,2,6,1,5,5,1,5
"20072",3,11,8,6,10,9,26,10,12
"20396",0,0,0,1,1,1,3,0,1
"21412",0,6,2,7,12,10,11,7,9
"1527",0,5,2,4,7,5,6,5,12
"686",0,0,0,2,1,1,1,0,2
"4283",2,17,11,30,43,37,43,17,26
"17876",13,41,23,48,57,46,87,29,59
"16432",11,35,17,38,57,44,59,26,44
"21289",0,1,1,1,0,0,0,1,2
"20874",0,1,0,1,1,2,2,1,0
"19992",5,10,3,10,18,10,21,6,11
"20550",3,12,6,19,18,23,27,13,12
"20784",2,5,0,3,7,6,11,1,4
"20229",5,13,7,14,12,18,24,11,11
"19653",4,8,4,18,25,18,22,11,18
"19137",3,6,4,11,12,11,18,4,7
"1351",22,66,36,94,123,100,148,66,97
"1253",11,40,19,53,58,53,85,31,54
"876",5,12,7,20,26,29,40,16,18
"2137",8,17,8,29,38,30,29,15,22
"20689",1,2,5,5,13,10,8,4,6
"20560",0,0,0,2,0,0,1,0,0
"19980",0,1,0,4,4,4,2,0,1
"20294",1,0,0,2,0,0,3,1,0
"936",13,28,23,49,71,55,78,33,54
"19382",0,2,2,2,3,4,4,3,4
"17746",4,9,8,13,21,23,22,10,14
"18939",1,7,3,9,9,3,12,4,7
"18478",6,8,3,7,16,8,11,9,14
"17357",7,16,8,32,33,23,44,19,33
"16253",0,4,1,8,4,3,12,4,6
"15578",3,6,2,2,9,5,8,4,6
"4619",1,9,3,16,19,22,16,12,19
"5977",5,8,5,17,19,13,27,12,22
"10416",0,4,5,12,21,15,32,7,13
"8352",2,8,5,7,17,15,21,7,18
"5893",5,9,2,16,20,12,23,9,13
"5493",5,13,8,17,24,20,30,10,12
"2135",0,3,0,0,1,1,0,1,3
"2351",4,6,4,8,10,8,16,4,6
"2869",4,15,7,19,22,25,22,8,15
"2678",8,14,9,24,32,29,33,18,26
"20857",0,0,0,5,2,1,1,0,2
"20997",0,0,0,1,2,0,0,0,1
"16266",0,3,3,8,7,4,16,12,10
"21447",0,2,0,5,1,3,1,0,3
"36",1,8,4,8,9,7,11,4,7
"1765",10,30,22,62,65,52,92,34,61
"2428",22,70,38,102,130,106,162,70,102
"1182",5,23,9,27,24,32,36,11,29
"369",10,41,21,67,69,57,98,35,64
"829",1,12,9,12,15,14,16,6,12
"1388",1,7,6,14,12,14,20,14,10
"836",3,9,8,14,24,16,10,13,17
"19313",0,1,0,4,2,1,3,4,3
"928",3,6,5,11,12,12,13,2,7
"1409",1,6,5,3,9,7,11,1,6
"3971",5,19,8,22,18,20,24,9,20
"2101",3,6,4,8,10,14,16,5,7
"2484",5,14,6,11,25,15,25,12,20
"2800",13,40,23,52,70,43,83,49,59
"3336",11,30,17,43,46,41,60,28,38
"3406",10,16,14,27,38,28,37,20,28
"6877",5,6,6,16,23,15,26,9,21
"7088",7,17,13,23,21,26,26,25,26
"6497",2,12,4,12,20,13,23,10,14
"11985",3,7,2,10,7,7,14,7,9
"11368",0,4,1,1,5,4,7,6,2
"9787",6,21,11,20,36,27,44,19,32
"20849",0,0,0,1,5,1,2,3,3
"20594",2,10,7,9,10,9,14,6,8
"20764",0,1,2,4,4,3,6,2,2
"20431",2,14,3,13,11,16,19,7,4
"19894",1,11,4,7,7,10,16,7,11
"17616",0,2,4,5,7,1,11,3,3
"18789",0,2,1,2,7,4,7,0,1
"20185",0,5,9,4,11,10,12,7,11
"18294",2,5,4,7,13,5,4,3,5
"19600",0,8,2,9,14,6,18,4,8
"18644",3,5,0,4,4,7,8,3,6
"19202",2,5,1,5,13,4,7,1,6
"20889",0,2,0,5,1,1,4,1,2
"48",0,6,3,1,3,2,9,0,9
"3222",6,12,10,20,17,18,26,9,22
"5047",3,1,0,3,7,5,5,3,8
"20772",0,2,2,4,7,7,3,4,5
"20531",0,5,2,7,9,4,11,3,4
"20399",0,4,1,7,11,4,8,4,5
"20986",0,1,1,6,1,0,2,2,1
"19971",0,3,1,6,8,1,4,2,5
"19841",1,1,0,0,3,2,2,1,0
"19383",2,4,5,7,7,5,11,4,4
"18792",1,2,2,7,6,7,4,5,6
"20444",1,2,2,0,2,3,3,2,3
"962",13,33,20,51,59,46,77,37,53
"21513",2,10,5,8,21,18,19,13,16
"368",12,40,17,57,74,57,91,49,63
"21455",1,1,3,6,5,2,6,3,2
"1044",9,17,11,28,25,32,39,18,18
"1151",4,12,11,19,20,22,35,12,19
"1948",4,15,13,18,25,29,41,18,19
"6620",0,4,1,5,8,1,4,6,4
"538",6,8,5,16,27,16,42,16,19
"8588",7,13,10,22,23,20,23,18,17
"262",16,44,24,50,75,58,90,36,63
"6940",0,9,2,6,3,8,10,6,4
"7607",9,29,13,28,31,29,33,30,31
"12107",1,2,0,1,3,0,1,1,1
"21298",0,1,0,3,3,0,7,2,2
"21500",2,8,3,9,13,10,11,7,4
"17781",7,13,13,18,22,21,30,19,20
"20896",1,3,3,6,4,7,9,3,3
"1029",0,5,6,7,10,9,40,6,8
"20993",0,1,0,4,1,3,2,0,0
"21295",2,9,1,3,7,8,7,5,2
"20324",0,5,0,2,3,0,6,1,2
"21151",0,1,1,4,4,3,1,2,4
"788",4,7,7,12,13,8,13,7,3
"135",5,13,8,19,34,22,42,18,26
"2001",8,13,2,18,21,19,27,14,17
"1855",4,5,5,13,16,10,15,10,9
"1646",4,12,10,12,26,22,43,18,24
"1371",1,13,8,18,28,13,29,14,17
"7528",14,45,19,55,74,61,88,45,57
"6198",1,6,3,4,10,11,10,4,7
"813",2,10,10,19,20,25,43,11,15
"1035",4,4,5,14,18,11,34,7,9
"4022",5,14,7,14,28,25,24,18,10
"4754",10,24,10,26,42,35,45,25,32
"10034",0,1,0,1,3,3,3,2,1
"8672",2,8,5,7,11,8,15,10,12
"21594",1,3,1,4,8,6,6,7,14
"2022",7,23,14,54,57,30,55,25,42
"1547",7,22,12,40,53,43,49,19,34
"1150",6,20,14,51,66,40,54,30,45
"522",8,32,18,55,50,50,77,38,48
"698",7,16,10,20,44,32,46,23,29
"16",5,3,2,3,7,6,15,3,7
"21557",2,8,1,10,24,17,25,9,19
"10409",0,1,1,4,3,4,5,5,2
"783",3,8,5,8,20,15,31,12,14
"266",5,16,5,19,25,23,35,16,19
"6086",2,27,15,29,38,38,62,23,37
"1168",2,5,3,17,7,0,11,4,3
"204",3,1,6,5,22,14,60,13,7
"1784",0,0,0,1,7,3,31,4,2
"2377",0,0,0,1,8,4,28,5,1
"930",2,0,2,1,6,7,35,5,4
"2720",0,1,0,3,4,3,31,2,1
"3566",2,1,2,5,5,4,11,2,11
"3138",0,2,1,3,2,2,1,2,0
"1878",0,3,2,7,4,10,8,4,2
"2541",1,3,0,5,3,5,6,3,1
"4692",2,6,2,4,3,5,7,3,4
"17692",0,4,0,5,9,4,4,5,6
"17322",3,12,3,18,25,25,23,5,15
"16225",0,2,0,5,6,6,6,3,3
"3771",0,1,1,0,3,1,5,0,1
"2164",4,5,2,4,5,3,6,6,8
"2649",1,4,1,3,6,4,10,9,3
"1584",0,1,0,1,2,0,0,0,0
"3116",0,4,1,3,9,4,9,2,4
"1399",2,5,2,1,3,5,6,3,3
"370",4,16,10,22,39,25,32,12,25
"170",9,19,9,16,29,23,34,15,18
"20370",0,5,1,5,1,6,8,5,11
"20927",1,3,2,3,7,5,10,5,2
"19871",1,8,5,8,9,14,13,10,10
"21242",0,5,0,6,5,7,10,1,5
"21453",0,0,0,2,3,2,1,4,4
"289",2,5,3,6,9,8,6,5,6
"447",0,2,0,0,0,0,0,0,0
"926",0,0,0,0,1,0,1,0,2
"9121",0,0,0,0,2,0,1,0,1
"352",0,0,0,1,0,1,11,0,0
"15614",0,1,1,6,5,5,9,2,4
"15164",1,3,1,2,5,4,9,1,3
"10522",0,0,0,1,0,0,2,1,3
"17428",0,0,0,0,1,2,0,1,1
"15744",1,3,0,3,6,7,4,3,10
"16796",0,11,5,18,14,9,16,8,8
"15353",1,3,0,5,7,3,3,2,5
"14744",0,2,1,6,4,7,2,4,5
"14350",1,6,1,4,12,4,5,3,2
"21556",1,5,0,3,7,7,9,11,5
"21383",0,3,0,9,11,6,12,2,11
"21649",0,0,0,0,1,0,1,2,0
"21486",0,2,1,0,2,1,2,2,0
"1288",10,18,15,40,43,42,42,27,29
"3513",19,55,28,86,103,74,120,51,81
"5682",1,34,13,33,41,29,48,21,25
"8509",3,9,7,14,22,14,34,11,18
"6557",6,28,9,30,33,34,39,22,33
"20626",0,2,1,3,2,2,3,3,2
"20821",0,0,0,0,3,2,3,0,0
"20165",3,6,2,5,10,10,11,9,11
"19859",2,3,2,2,10,2,12,6,5
"19514",1,4,3,11,8,6,9,6,5
"19314",1,4,0,1,4,5,9,4,3
"18590",2,8,6,16,13,8,10,3,10
"17733",2,4,3,6,9,7,7,4,6
"5719",20,56,37,87,112,87,142,59,77
"2809",13,26,18,61,64,51,76,31,48
"3388",16,34,26,56,73,64,103,38,54
"957",1,1,0,2,3,3,0,0,4
"2059",17,48,35,79,94,80,121,49,82
"20649",2,0,2,5,5,4,10,5,5
"20239",2,0,2,2,4,2,4,1,2
"2416",3,14,8,36,44,38,59,28,30
"1988",5,15,13,25,36,33,48,19,29
"3831",0,1,1,2,2,3,6,4,4
"709",13,44,26,65,81,73,122,51,69
"1320",9,31,19,42,61,45,69,30,50
"1063",6,30,19,51,58,51,72,29,46
"3352",3,13,13,22,23,22,39,18,18
"4986",2,4,1,5,7,3,14,0,5
"239",8,38,22,40,44,58,81,33,38
"4352",2,4,4,15,13,19,22,8,10
"9692",4,17,8,25,24,27,35,16,25
"7778",0,0,0,1,2,0,12,1,1
"6860",0,0,0,1,0,1,9,0,1
"1822",0,0,0,1,0,2,2,2,0
"1136",0,2,2,8,8,7,6,4,4
"2803",2,3,1,6,3,5,6,4,3
"4522",7,23,19,40,43,39,71,27,32
"2880",0,0,0,2,1,2,1,0,1
"3736",9,33,23,49,64,45,89,41,58
"8574",9,11,14,36,37,33,41,22,26
"3008",0,1,1,0,1,2,2,2,0
"3318",6,9,7,19,26,13,22,3,16
"2431",1,3,1,10,10,9,11,7,8
"20999",0,1,0,0,0,0,3,0,0
"21169",0,2,0,0,5,4,5,1,4
"21588",0,1,0,1,0,0,2,1,0
"1011",14,32,19,57,81,55,79,35,53
"1232",5,33,15,45,52,54,69,35,41
"1532",19,59,32,87,110,88,135,60,91
"321",9,36,23,56,81,64,84,39,50
"8637",10,18,20,36,35,29,74,18,37
"2618",9,30,17,50,73,53,86,42,55
"2167",10,39,19,59,76,58,92,45,61
"5552",6,18,7,13,30,25,34,16,10
"3359",3,8,1,13,9,8,14,8,15
"2579",6,12,11,17,28,27,36,18,20
"2336",2,1,4,10,5,11,12,7,14
"2133",0,2,0,0,2,2,0,1,2
"21583",0,0,0,0,1,1,2,0,1
"20960",0,1,3,3,5,0,1,1,0
"20725",1,2,0,8,6,5,10,0,4
"20389",0,2,2,1,3,2,7,1,2
"17569",1,8,1,5,5,6,11,5,10
"20982",0,0,0,0,0,0,2,0,0
"20732",0,0,1,0,4,2,3,3,0
"20459",4,1,5,8,3,7,7,5,3
"20114",4,5,8,15,15,16,21,13,10
"19899",1,2,1,3,1,5,8,2,3
"19648",4,4,4,10,11,15,28,7,13
"18962",1,7,1,9,11,6,13,3,9
"19138",6,7,6,5,8,9,14,6,11
"18658",1,3,1,3,11,6,5,4,5
"1987",4,11,7,21,24,22,24,15,17
"7456",6,10,2,12,18,14,27,8,23
"1639",3,11,6,15,20,12,18,9,13
"8019",6,27,17,32,29,27,41,33,33
"1292",3,7,7,5,9,9,15,8,6
"21573",0,2,0,2,3,4,8,0,4
"20984",1,2,1,1,3,2,3,0,1
"20951",0,1,1,4,2,2,5,0,3
"20436",0,1,1,8,13,8,8,2,6
"20265",1,5,5,4,6,6,11,5,6
"21113",1,2,2,9,2,6,7,1,3
"19948",0,1,3,5,9,6,12,2,7
"21257",1,1,0,11,7,4,9,5,4
"19526",0,1,3,1,2,3,3,1,0
"19094",0,1,1,3,1,1,2,0,2
"2391",4,25,7,22,32,27,55,21,26
"1999",2,9,7,11,19,20,17,7,8
"3440",5,13,7,21,25,15,34,18,17
"1606",4,8,6,15,11,21,17,9,8
"3761",9,14,12,33,25,29,55,24,27
"4634",8,5,8,16,17,12,18,10,18
"388",1,1,4,7,10,5,10,8,7
"923",5,17,5,24,25,26,44,17,24
"1934",3,10,1,8,9,10,15,10,13
"3797",2,8,4,20,20,12,20,8,15
"5590",17,48,27,63,86,71,108,54,79
"4959",6,10,5,13,16,14,32,15,13
"8356",0,3,3,5,2,7,8,4,6
"1429",3,20,7,26,33,28,37,20,27
"860",6,20,10,35,47,32,42,18,36
"10954",1,0,3,7,5,11,9,2,3
"1116",6,6,4,13,10,11,28,4,11
"12059",4,8,4,16,16,11,19,12,17
"20740",1,6,5,8,5,5,6,6,5
"20415",1,3,0,3,5,0,1,2,2
