"feature.ID","Airlock","Columbus","JLP","JPM","Node 1","Node 2","Node 3","PMM","US Lab"
"25245",3,5,3,6,7,9,14,3,8
"25565",1,10,1,10,10,9,10,4,9
"24980",1,10,1,4,3,9,7,2,4
"15211",14,58,32,82,95,81,128,53,80
"24637",1,3,3,3,6,8,8,4,2
"23992",2,6,3,5,10,10,7,4,4
"23613",0,2,1,6,2,10,7,2,6
"23196",2,2,5,13,15,13,10,2,6
"26168",0,0,0,2,3,4,3,4,1
"26183",1,3,3,6,4,3,5,4,1
"25959",0,7,2,5,10,6,6,6,11
"23029",1,7,6,7,14,9,22,5,8
"2740",3,13,5,25,33,25,31,10,19
"17940",4,21,9,27,27,17,29,15,21
"26065",0,5,2,3,2,3,7,6,7
"8826",0,2,0,1,1,1,2,1,0
"12022",0,1,0,1,0,2,3,0,0
"3323",2,10,5,6,13,12,11,11,9
"24091",1,2,1,5,6,4,5,5,6
"25152",4,8,5,7,7,11,15,6,11
"24969",0,3,0,4,3,4,3,1,9
"24489",1,5,5,13,9,6,8,2,5
"25336",0,4,2,9,4,7,6,5,6
"25611",1,6,4,14,12,7,13,4,8
"25865",0,8,3,13,9,14,19,7,11
"3054",0,2,0,2,2,5,1,2,0
"786",1,0,0,2,2,0,2,1,0
"946",5,16,4,14,17,18,20,15,15
"321",4,12,6,12,14,22,28,11,19
"1641",2,21,6,22,26,37,38,16,21
"2807",5,24,16,38,44,47,55,24,43
"566",2,14,5,17,20,13,20,10,18
"11687",0,2,1,0,2,1,3,2,0
"5027",0,2,0,1,0,0,1,1,0
"26174",0,2,1,13,7,9,8,4,6
"26214",0,0,3,4,4,4,4,5,5
"26150",0,0,1,4,2,6,2,4,0
"665",12,32,14,52,55,39,60,36,41
"25265",1,3,4,11,10,7,21,7,12
"24869",3,8,4,17,17,9,16,8,15
"25813",1,5,2,8,6,3,5,5,5
"24415",0,9,4,6,12,4,9,6,10
"23743",2,2,6,6,6,3,11,1,3
"22017",0,3,1,1,1,1,2,0,3
"23418",1,6,3,10,9,6,13,6,7
"25002",0,1,0,2,3,2,3,1,3
"24904",1,6,4,8,4,6,4,4,6
"25247",0,0,0,2,2,2,2,0,2
"25555",2,5,5,6,2,1,10,7,7
"25663",2,9,4,4,4,5,13,5,4
"1583",9,19,12,37,41,35,67,26,32
"511",15,53,23,68,81,74,105,50,64
"25076",0,3,2,1,1,2,2,1,1
"25522",2,3,3,2,6,4,7,3,6
"25673",0,6,3,12,11,10,21,7,13
"24552",2,5,2,5,10,10,11,8,11
"2399",6,17,10,33,36,24,41,22,28
"960",7,12,13,21,26,28,28,17,21
"1132",5,25,14,42,32,30,41,24,33
"3084",21,68,37,98,123,101,154,68,99
"25280",3,10,5,7,11,3,14,9,5
"24809",0,1,1,2,2,2,1,1,4
"25220",0,1,1,2,0,0,1,0,1
"25805",1,3,4,8,7,6,12,9,7
"22668",1,5,2,4,5,4,7,3,4
"23781",0,2,2,3,6,4,5,4,8
"24206",0,3,1,1,1,2,7,1,6
"23302",2,11,8,8,10,11,8,9,5
"25263",4,8,12,17,16,14,22,9,18
"24806",1,9,6,12,10,4,12,11,14
"25062",1,4,6,7,5,4,6,6,8
"24442",2,8,3,10,13,14,13,6,10
"25762",1,5,4,7,6,5,3,5,6
"24346",1,7,2,5,3,11,10,6,7
"23851",1,9,1,11,12,12,16,4,7
"22842",1,1,1,7,6,5,15,2,3
"1372",12,29,17,43,50,29,58,32,40
"27",2,11,5,11,18,19,14,9,7
"1069",2,12,3,13,18,13,21,7,9
"710",5,10,7,12,15,7,21,7,9
"448",3,8,2,16,16,11,18,7,17
"1680",9,32,18,42,30,33,55,32,45
"1159",7,18,15,31,37,26,45,24,33
"1024",9,42,17,46,47,57,72,40,45
"11605",21,69,38,100,125,103,157,70,100
"134",2,11,6,11,24,15,24,12,12
"25943",2,6,7,12,6,12,12,9,11
"677",13,36,20,51,60,40,73,36,45
"494",2,5,1,7,8,6,11,5,4
"4199",2,10,4,9,15,23,32,13,15
"1508",12,29,20,59,78,48,84,29,58
"700",0,0,0,0,0,0,4,0,0
"18844",11,30,16,46,50,57,79,30,57
"17937",10,21,12,36,45,33,52,21,30
"26056",2,6,2,7,8,4,13,6,6
"8193",4,9,4,14,19,12,18,9,12
"5721",0,3,2,8,5,2,6,5,5
"320",0,0,0,0,3,0,27,6,3
"15976",20,65,35,85,119,95,145,70,93
