file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxa_NCBI	ReDU_Availability	Blank	QC
mzspec:MSV000085129:02297_Pl_6	0.02	mzspec:MSV000085129:02297_Pl_6:scan:1283	1	0.82	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02297_Pl_6.mzML	MSV000085129/02297_Pl_6.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02454_Pl_8	0.02	mzspec:MSV000085129:02454_Pl_8:scan:1354	1	0.81	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02454_Pl_8.mzML	MSV000085129/02454_Pl_8.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02333_Pl_5	0.02	mzspec:MSV000085129:02333_Pl_5:scan:1337	1	0.8	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02333_Pl_5.mzML	MSV000085129/02333_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000086644:283_RMF228_6ul_BA3_01_22490	0.04	mzspec:MSV000086644:283_RMF228_6ul_BA3_01_22490:scan:1168	1	0.77	7	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/283_RMF228_6ul_BA3_01_22490.mzML	MSV000086644/283_RMF228_6ul_BA3_01_22490.mzML	MSV000086644	Eremophila deserti	2652521	No	No	No
mzspec:MSV000085129:02357_Pl_1	0.02	mzspec:MSV000085129:02357_Pl_1:scan:1321	1	0.77	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02357_Pl_1.mzML	MSV000085129/02357_Pl_1.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02514_Pl_5	0.02	mzspec:MSV000085129:02514_Pl_5:scan:1258	1	0.76	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_2/02514_Pl_5.mzML	MSV000085129/02514_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02346_Pl_9	0.02	mzspec:MSV000085129:02346_Pl_9:scan:1311	1	0.76	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02346_Pl_9.mzML	MSV000085129/02346_Pl_9.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02298_Pl_6	0.02	mzspec:MSV000085129:02298_Pl_6:scan:1292	1	0.76	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02298_Pl_6.mzML	MSV000085129/02298_Pl_6.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02404_Pl_5	0.02	mzspec:MSV000085129:02404_Pl_5:scan:1297	1	0.73	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02404_Pl_5.mzML	MSV000085129/02404_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02370_Pl_5	0.02	mzspec:MSV000085129:02370_Pl_5:scan:1337	1	0.73	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02370_Pl_5.mzML	MSV000085129/02370_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02465_Pl_1	0.02	mzspec:MSV000085129:02465_Pl_1:scan:1295	1	0.73	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02465_Pl_1.mzML	MSV000085129/02465_Pl_1.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02406_Pl_5	0.02	mzspec:MSV000085129:02406_Pl_5:scan:1283	1	0.72	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02406_Pl_5.mzML	MSV000085129/02406_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000085129:02405_Pl_5	0.02	mzspec:MSV000085129:02405_Pl_5:scan:1317	1	0.72	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02405_Pl_5.mzML	MSV000085129/02405_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No
mzspec:MSV000087728:VGF151_H11_pos	-0.0	mzspec:MSV000087728:VGF151_H11_pos:scan:1676	1	0.7	5	MSV000087728	NoID	MSV000087728/ccms_peak/VGF_pos_with_QC_and_blanks_raw/VGF151_H11_pos.mzML	MSV000087728/VGF151_H11_pos.mzML	MSV000087728	Nelumbo nucifera	4432	Yes	No	No
