file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:VA3_2x_RB3_01_21611	-0.04	mzspec:MSV000084900:VA3_2x_RB3_01_21611:scan:1824	1	0.75	6	MSV000084900	NoID	MSV000084900	VA3_2x_RB3_01_21611.mzXML	plant
mzspec:MSV000084900:G74095_1x_10ul_RC4_01_19803	-0.04	mzspec:MSV000084900:G74095_1x_10ul_RC4_01_19803:scan:1899	1	0.73	6	MSV000084900	NoID	MSV000084900	G74095_1x_10ul_RC4_01_19803.mzXML	vegetable/herb
mzspec:MSV000084900:G86788_1x_RG11_01_23383	-0.04	mzspec:MSV000084900:G86788_1x_RG11_01_23383:scan:1861	1	0.73	6	MSV000084900	NoID	MSV000084900	G86788_1x_RG11_01_23383.mzXML	avocado
mzspec:MSV000084900:G86702_1x_RA6_01_21730	-0.04	mzspec:MSV000084900:G86702_1x_RA6_01_21730:scan:1878	1	0.73	6	MSV000084900	NoID	MSV000084900	G86702_1x_RA6_01_21730.mzXML	complex
mzspec:MSV000084900:G74117_1x_10ul_RB8_01_19791	-0.04	mzspec:MSV000084900:G74117_1x_10ul_RB8_01_19791:scan:1896	1	0.72	7	MSV000084900	NoID	MSV000084900	G74117_1x_10ul_RB8_01_19791.mzXML	complex
mzspec:MSV000084900:G87577_1x_BA8_01_26547	-0.03	mzspec:MSV000084900:G87577_1x_BA8_01_26547:scan:1852	1	0.72	6	MSV000084900	NoID	MSV000084900	G87577_1x_BA8_01_26547.mzXML	avocado
mzspec:MSV000084900:G79356_5x_RB2_01_21415	-0.04	mzspec:MSV000084900:G79356_5x_RB2_01_21415:scan:1872	1	0.72	6	MSV000084900	NoID	MSV000084900	G79356_5x_RB2_01_21415.mzXML	grain/grass
mzspec:MSV000084900:G78909_1x_RD5_01_18830	-0.03	mzspec:MSV000084900:G78909_1x_RD5_01_18830:scan:1866	1	0.72	6	MSV000084900	NoID	MSV000084900	G78909_1x_RD5_01_18830.mzXML	avocado
mzspec:MSV000084900:G72462_10x_BF7_01_17855	-0.04	mzspec:MSV000084900:G72462_10x_BF7_01_17855:scan:1899	1	0.71	7	MSV000084900	NoID	MSV000084900	G72462_10x_BF7_01_17855.mzXML	plant
mzspec:MSV000084900:G96200_RA3_01_31454	-0.04	mzspec:MSV000084900:G96200_RA3_01_31454:scan:1878	1	0.71	7	MSV000084900	NoID	MSV000084900	G96200_RA3_01_31454.mzXML	yogurt_cow
mzspec:MSV000084900:G87550_1x_BH2_01_26646	-0.04	mzspec:MSV000084900:G87550_1x_BH2_01_26646:scan:1875	1	0.71	7	MSV000084900	NoID	MSV000084900	G87550_1x_BH2_01_26646.mzXML	complex
mzspec:MSV000084900:G87364_1x_BA6_01_25986	-0.04	mzspec:MSV000084900:G87364_1x_BA6_01_25986:scan:1824	1	0.71	7	MSV000084900	NoID	MSV000084900	G87364_1x_BA6_01_25986.mzXML	pineapple
mzspec:MSV000084900:G86856_1x_10ul_RB2_01_23506	-0.04	mzspec:MSV000084900:G86856_1x_10ul_RB2_01_23506:scan:1862	1	0.71	6	MSV000084900	NoID	MSV000084900	G86856_1x_10ul_RB2_01_23506.mzXML	grain/grass
mzspec:MSV000084900:G75687_1x_RB8_01_18805	-0.03	mzspec:MSV000084900:G75687_1x_RB8_01_18805:scan:1865	1	0.71	6	MSV000084900	NoID	MSV000084900	G75687_1x_RB8_01_18805.mzXML	avocado
mzspec:MSV000084900:G86940_1x_BA6_01_26369	-0.04	mzspec:MSV000084900:G86940_1x_BA6_01_26369:scan:1870	1	0.7	7	MSV000084900	NoID	MSV000084900	G86940_1x_BA6_01_26369.mzXML	complex
mzspec:MSV000084900:G87388_RF2_01_26175	-0.04	mzspec:MSV000084900:G87388_RF2_01_26175:scan:1873	1	0.7	7	MSV000084900	NoID	MSV000084900	G87388_RF2_01_26175.mzXML	marchigiana beef
