Delta Mass	USI	Cosine	Matching Peaks	Status
-0.03	mzspec:MSV000082953:P4_B12:scan:3294	0.85	8	NoID
-0.03	mzspec:MSV000082953:blank_swab_mid_180919162931:scan:3315	0.84	8	NoID
-0.03	mzspec:MSV000082953:P3_B12:scan:3313	0.84	8	NoID
-0.03	mzspec:MSV000082953:P3_C6:scan:3303	0.83	8	NoID
-0.03	mzspec:MSV000089558:ME_C8-E16:scan:2904	0.83	8	NoID
-0.03	mzspec:MSV000080905:P3_EMP_87:scan:2089	0.81	8	NoID
-0.03	mzspec:MSV000082953:P4_A12:scan:3304	0.81	7	NoID
-0.03	mzspec:MSV000082953:P2_A12:scan:3323	0.81	7	NoID
-0.03	mzspec:MSV000083559:11713.24.O.24E:scan:2476	0.8	9	NoID
-0.03	mzspec:MSV000082953:blank_swab_start2:scan:3309	0.8	8	NoID
-0.03	mzspec:MSV000082953:P3_C12:scan:3301	0.8	7	NoID
-0.03	mzspec:MSV000082953:P4_C12:scan:3292	0.8	7	NoID
-0.03	mzspec:MSV000084314:MSV000082433:scan:94884	0.8	7	NoID
-0.03	mzspec:MSV000082953:P1_D10:scan:3292	0.79	7	NoID
-0.03	mzspec:MSV000089313:14HM553:scan:2769	0.79	7	NoID
-0.03	mzspec:MSV000082433:M-302:scan:2395	0.79	7	NoID
-0.03	mzspec:MSV000082953:P2_B12:scan:3283	0.79	7	NoID
-0.03	mzspec:MSV000082433:M-557:scan:2419	0.79	7	NoID
-0.03	mzspec:MSV000082953:P5_A10:scan:3273	0.79	7	NoID
-0.03	mzspec:MSV000089558:ME_C4-B1:scan:2747	0.79	7	NoID
-0.03	mzspec:MSV000082433:116:scan:2415	0.79	7	NoID
-0.03	mzspec:MSV000082433:458:scan:2437	0.79	7	NoID
-0.03	mzspec:MSV000087148:GNPS - AH-30:scan:30153	0.79	7	NoID
-0.04	mzspec:MSV000082433:296:scan:2408	0.79	7	NoID
-0.03	mzspec:MSV000082433:520:scan:2438	0.79	7	NoID
-0.03	mzspec:MSV000080628:fecal_31_20161031:scan:2443	0.78	8	NoID
0.0	mzspec:MSV000087728:VGF150_G10_pos:scan:3494	0.78	8	NoID
-0.04	mzspec:MSV000082433:628:scan:2416	0.78	7	NoID
-0.03	mzspec:MSV000082953:P1_C2:scan:3262	0.78	7	NoID
-0.03	mzspec:MSV000087148:GNPS - AH-30_20210310130423:scan:30066	0.78	7	NoID
-0.03	mzspec:MSV000082953:blank_swab_mid_180918024820:scan:3298	0.78	7	NoID
-0.03	mzspec:MSV000082953:P1_D1:scan:3297	0.78	7	NoID
-0.03	mzspec:MSV000087728:VGF144_D02_pos:scan:2978	0.78	7	NoID
-0.03	mzspec:MSV000082433:164:scan:2432	0.78	7	NoID
-0.03	mzspec:MSV000082433:M-375:scan:2461	0.78	7	NoID
-0.03	mzspec:MSV000082433:M-653:scan:2485	0.78	7	NoID
-0.03	mzspec:MSV000089313:14HM430:scan:2628	0.78	7	NoID
-0.04	mzspec:MSV000089558:QC_Mix_06:scan:2530	0.78	7	NoID
-0.03	mzspec:MSV000082953:P3_D9:scan:3268	0.78	7	NoID
-0.03	mzspec:MSV000082953:P1_A6:scan:3287	0.78	7	NoID
-0.04	mzspec:MSV000082433:550:scan:2401	0.78	7	NoID
-0.03	mzspec:MSV000089558:ME_C7-B1:scan:2695	0.78	7	NoID
-0.03	mzspec:MSV000082433:506:scan:2397	0.78	7	NoID
-0.03	mzspec:MSV000082433:M-617:scan:2395	0.78	7	NoID
0.01	mzspec:MSV000079772:B05_Soil_2013_016_8_C:scan:2495	0.78	7	NoID
-0.04	mzspec:MSV000082433:196:scan:2425	0.78	7	NoID
-0.03	mzspec:MSV000089313:14HM332:scan:2781	0.78	7	NoID
-0.03	mzspec:MSV000082433:226:scan:2410	0.78	7	NoID
-0.03	mzspec:MSV000082433:308:scan:2421	0.78	7	NoID
-0.03	mzspec:MSV000082433:874:scan:2408	0.78	7	NoID
-0.03	mzspec:MSV000082433:298:scan:2403	0.78	7	NoID
-0.04	mzspec:MSV000082433:548:scan:2427	0.78	7	NoID
-0.03	mzspec:MSV000082433:M-076:scan:2391	0.78	7	NoID
-0.0	mzspec:MSV000086302:200728_LQ_PF0017796_466637Z01_B8_pos:scan:3099	0.77	8	NoID
-0.0	mzspec:MSV000085918:200728_LQ_PF0017796_466637Z01_B8_pos:scan:3099	0.77	8	NoID
-0.01	mzspec:MSV000082973:A38_153_1:scan:2078	0.77	8	NoID
-0.03	mzspec:MSV000082433:M-444:scan:2435	0.77	7	NoID
-0.03	mzspec:MSV000082433:148:scan:2404	0.77	7	NoID
-0.03	mzspec:MSV000082433:522:scan:2422	0.77	7	NoID
-0.03	mzspec:MSV000083559:11713.19.O.19A:scan:2463	0.77	7	NoID
-0.03	mzspec:MSV000082953:P1_B12:scan:3365	0.77	7	NoID
-0.04	mzspec:MSV000082433:310:scan:2404	0.77	7	NoID
-0.03	mzspec:MSV000089313:14HM583:scan:2754	0.77	7	NoID
-0.03	mzspec:MSV000082433:M-457:scan:2395	0.77	7	NoID
-0.03	mzspec:MSV000088645:Blank_00_P04_no_inj:scan:2678	0.77	7	NoID
