USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009984048	CCMSLIB00009984048	0.98	6	Suspect related to Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C26H52NO10P) with delta m/z 47.985 (putative explanation: cysteine oxidation to cysteic acid; atomic difference: 3O)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009995314	CCMSLIB00009995314	0.98	6	Suspect related to Spectral Match to Lyso-PC(16:0) from NIST14 (predicted molecular formula: C30H52NO7P) with delta m/z 74.017 (putative explanation: polysiloxane repeat unit|Gly->Met substitution|unspecified; atomic difference: 2C,6H,1O,1Si|3C,6H,1S|6C,2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009961405	CCMSLIB00009961405	0.98	6	Suspect related to Massbank:PR310844 LPC 18:2 (predicted molecular formula: C30H52NO7P) with delta m/z 50.016 (putative explanation: Pro->Phe substitution|unspecified; atomic difference: 4C,2H|4C,2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009987464	CCMSLIB00009987464	0.98	6	Suspect related to Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C26H52NO10P) with delta m/z 45.969 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009986630	CCMSLIB00009986630	0.95	6	Suspect related to Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C20H48N11O6P) with delta m/z 45.985 (putative explanation: Beta-methylthiolation|Gly->Cys substitution; atomic difference: 1C,2H,1S|1C,2H,1S)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009929244	CCMSLIB00009929244	0.95	6	Suspect related to 1-Oleoyl-sn-glycero-3-phosphocholine (predicted molecular formula: C30H52NO7P) with delta m/z 48.0 (putative explanation: Val->Phe substitution; atomic difference: 4C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009961404	CCMSLIB00009961404	0.94	5	Suspect related to Massbank:PR310844 LPC 18:2 (predicted molecular formula: C22H48N7O8P) with delta m/z 50.0 (putative explanation: unspecified|unspecified; atomic difference: 2H,3O|3C,1N)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009961358	CCMSLIB00009961358	0.94	5	Suspect related to Massbank:PR310841 LPC 18:3 (predicted molecular formula: C29H52N3O6P) with delta m/z 52.032 (putative explanation: unspecified; atomic difference: 4C,4H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009962857	CCMSLIB00009962857	0.92	5	Suspect related to Massbank:RP026303 1-tridecanoyl-2-hydroxy-sn-glycero-3-phosphocholine|1-tridecanoyl-sn-glycero-3-phosphocholine|[(2R)-2-hydroxy-3-tridecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate (predicted molecular formula: C30H52NO7P) with delta m/z 116.064 (putative explanation: Dealkylation (typically de-1-propenylbenzene) (reverse); atomic difference: 9C,8H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009984290	CCMSLIB00009984290	0.92	6	Suspect related to Spectral Match to 1-Arachidoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C30H52NO7P) with delta m/z 17.955 (putative explanation: Leu/Ile->Met substitution; atomic difference: -1C,-2H,1S)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009986776	CCMSLIB00009986776	0.91	5	Suspect related to Spectral Match to 1-Octadecyl-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: unknown) with delta m/z 59.965 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009987465	CCMSLIB00009987465	0.87	6	Suspect related to Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C30H52NO7P) with delta m/z 45.985 (putative explanation: Beta-methylthiolation|Gly->Cys substitution; atomic difference: 1C,2H,1S|1C,2H,1S)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009986095	CCMSLIB00009986095	0.87	6	Suspect related to Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C30H52NO7P) with delta m/z 102.047 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009984049	CCMSLIB00009984049	0.87	6	Suspect related to Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C30H52NO7P) with delta m/z 48.0 (putative explanation: Val->Phe substitution; atomic difference: 4C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009997204	CCMSLIB00009997204	0.86	5	Suspect related to Spectral Match to PAF C-16 from NIST14 (predicted molecular formula: C32H47N3O6) with delta m/z 45.985 (putative explanation: Beta-methylthiolation|Gly->Cys substitution; atomic difference: 1C,2H,1S|1C,2H,1S)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009962337	CCMSLIB00009962337	0.86	5	Suspect related to Massbank:RP012103 PC(16:0/0:0)|Palmitoyllysolectithin|(3-hexadecanoyloxy-2-hydroxypropyl) 2-(trimethylazaniumyl)ethyl phosphate (predicted molecular formula: C32H47N3O6) with delta m/z 74.017 (putative explanation: polysiloxane repeat unit|Gly->Met substitution|unspecified; atomic difference: 2C,6H,1O,1Si|3C,6H,1S|6C,2H)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009984530	CCMSLIB00009984530	0.86	6	Suspect related to Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C26H48N7O5P) with delta m/z 60.001 (putative explanation: 2-OH-ethyl thio-Ser|Ala->Met substitution|unspecified; atomic difference: 2C,4H,1S|2C,4H,1S|5C)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009986094	CCMSLIB00009986094	0.86	5	Suspect related to Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C22H40N11O5P) with delta m/z 101.995 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009986746	CCMSLIB00009986746	0.83	6	Suspect related to Spectral Match to 1-Octadecyl-2-acetyl-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: C23H43N11O6) with delta m/z 17.955 (putative explanation: Leu/Ile->Met substitution; atomic difference: -1C,-2H,1S)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009993698	CCMSLIB00009993698	0.83	6	Suspect related to Spectral Match to HEPC from NIST14 (predicted molecular formula: C23H43N11O6) with delta m/z 88.033 (putative explanation: unspecified; atomic difference: unspecified)	[M+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009961438	CCMSLIB00009961438	0.79	5	Suspect related to Massbank:PR310846 LPC 18:1 (predicted molecular formula: C20H48N11O6P) with delta m/z 48.0 (putative explanation: Val->Phe substitution; atomic difference: 4C)	[M+H]+	1
