Delta Mass	USI	Cosine	Matching Peaks	Status
0.0	mzspec:MSV000079718:group2_P1_H1:scan:594	0.96	7	NoID
0.0	mzspec:MSV000079697:group2_P1_H1:scan:594	0.96	7	NoID
0.0	mzspec:MSV000079707:group3_P2_H11:scan:623	0.96	7	NoID
0.0	mzspec:MSV000079697:group3_P2_H11:scan:623	0.96	7	NoID
0.0	mzspec:MSV000079718:group2_P1_D3:scan:529	0.96	7	NoID
0.0	mzspec:MSV000079697:group2_P1_D3:scan:529	0.96	7	NoID
0.0	mzspec:MSV000079720:group5_P1_E2:scan:534	0.95	7	NoID
-0.0	mzspec:MSV000079697:group3_P1_C3:scan:541	0.95	7	NoID
-0.0	mzspec:MSV000079707:group3_P1_C3:scan:541	0.95	7	NoID
-0.0	mzspec:MSV000079710:group1_P1_B8:scan:566	0.95	7	NoID
0.0	mzspec:MSV000079697:group3_P2_B11:scan:580	0.95	7	NoID
0.0	mzspec:MSV000079697:group5_P1_E2:scan:534	0.95	7	NoID
0.0	mzspec:MSV000079706:group3_P2_B11:scan:580	0.95	7	NoID
-0.0	mzspec:MSV000079697:group1_P1_B8:scan:566	0.95	7	NoID
0.0	mzspec:MSV000079697:group2_P1_H4:scan:584	0.94	7	NoID
0.0	mzspec:MSV000079697:group1_P2_F8:scan:564	0.94	7	NoID
0.0	mzspec:MSV000079720:group5_P1_G8:scan:510	0.94	7	NoID
-0.0	mzspec:MSV000088640:6035085:scan:578	0.94	7	NoID
0.0	mzspec:MSV000079718:group2_P1_H4:scan:584	0.94	7	NoID
0.0	mzspec:MSV000079709:group1_P2_F8:scan:564	0.94	7	NoID
0.0	mzspec:MSV000079714:group4_P2_D1:scan:541	0.94	7	NoID
0.0	mzspec:MSV000079697:group4_P2_D1:scan:541	0.94	7	NoID
0.0	mzspec:MSV000079697:group5_P1_G8:scan:510	0.94	7	NoID
0.0	mzspec:MSV000079697:group2_P1_C4:scan:563	0.94	7	NoID
0.0	mzspec:MSV000079717:group2_P1_C4:scan:563	0.94	7	NoID
-0.0	mzspec:MSV000083559:11713.23.S.23E:scan:641	0.93	7	NoID
0.0	mzspec:MSV000079697:group1_P1_A1:scan:564	0.93	7	NoID
0.0	mzspec:MSV000079709:group1_P1_A1:scan:564	0.93	7	NoID
0.0	mzspec:MSV000079709:group1_P2_D7:scan:576	0.93	7	NoID
0.0	mzspec:MSV000079717:group2_P2_B10:scan:567	0.93	7	NoID
0.0	mzspec:MSV000079720:group5_P1_G5:scan:533	0.93	7	NoID
0.0	mzspec:MSV000079714:group4_P2_F12:scan:629	0.93	7	NoID
0.0	mzspec:MSV000079706:group3_P2_G2:scan:708	0.93	7	NoID
0.0	mzspec:MSV000079697:group1_P2_D7:scan:576	0.93	7	NoID
0.0	mzspec:MSV000079720:group5_P1_E5:scan:532	0.93	7	NoID
0.0	mzspec:MSV000079697:group1_P1_E9:scan:632	0.93	7	NoID
-0.0	mzspec:MSV000079697:group2_P1_B5:scan:548	0.93	7	NoID
0.0	mzspec:MSV000079710:group1_P1_A1:scan:564	0.93	7	NoID
0.0	mzspec:MSV000079697:group5_P1_D4:scan:570	0.93	7	NoID
0.0	mzspec:MSV000079697:group5_P1_G5:scan:533	0.93	7	NoID
0.0	mzspec:MSV000079697:group2_P1_D12:scan:572	0.93	7	NoID
0.0	mzspec:MSV000079697:group2_P1_B12:scan:571	0.93	7	NoID
0.0	mzspec:MSV000079697:group2_P1_E6:scan:538	0.93	7	NoID
0.0	mzspec:MSV000079697:group5_P2_E1:scan:584	0.93	7	NoID
0.0	mzspec:MSV000079709:group1_P1_E9:scan:632	0.93	7	NoID
0.0	mzspec:MSV000079717:group2_P1_E6:scan:538	0.93	7	NoID
