Barcode,Well,Plate,GMT,Date,Module,Rack,Location,Labels,Number.on.Tube,Notes,Sample.Return.Bag
3D1230A,P1_A1,P1,39,2/8/21,Node 1,Field Control,Air Sample,NOD1-F1,1,,3DMM1502A S/N 002
3D0559A,P1_A2,P1,40,2/9/21,Node 1,6,NOD1P2 (NODE 3 HATCH PORTAL),NOD1P2-R3,13,,3DMM1504A S/N 004
3D0302A,P1_A3,P1,47,2/16/21,PMM,1,PMM1O1,PMM1O1-R4,12,,3DMM1509A S/N 009
3D0549A,P1_A4,P1,40,2/9/21,US Lab,21,LAB1O1,LAB1O1-L2,89,,3DMM1503A S/N 003
3D0481A,P1_A5,P1,34,2/3/21,Columbus,16,COL1F4,COL1F4-L2,COL1F4-L2,,3DMM1501A S/N 001
3D0905A,P1_A6,P1,50,2/19/21,Node 3,6,NOD3O4,NOD3O4-L1,40,Overhead towards Fwd,3DMM1511A S/N 011
3D0912A,P1_A7,P1,50,2/19/21,Node 3,2,NOD3F5 (T2),NOD3F5-R5,36,,3DMM1511A S/N 011
3D1451A,P1_A8,P1,46,2/15/21,JPM,5,JPM1O2,JPM1O2-R2,22,,3DMM1508A S/N 008
3D1326A,P1_A9,P1,50,2/19/21,Node 3,3,NOD3O5,NOD3O5-L2,31,,3DMM1512A S/N 012
3D1278A,P1_A10,P1,39,2/8/21,Node 1,2,NOD1P4,NOD1P4-R9,41,,3DMM1502A S/N 002
swab.blank,P1_A11,P1,NA,NA,swab.blank,swab.blank,swab.blank,NA,NA,NA,NA
solvent.blank,P1_A12,P1,NA,NA,solvent.blank,solvent.blank,solvent.blank,NA,NA,NA,NA
3D0390A,P1_B1,P1,47,2/16/21,PMM,1,PMM1O1,PMM1O1-L5,5,,3DMM1509A S/N 009
3D0410A,P1_B2,P1,47,2/16/21,PMM,4,PMM1S1,PMM1S1-R6,68,,3DMM1509A S/N 009
3D0933A,P1_B3,P1,50,2/19/21,Node 3,6,NOD3O4,NOD3O4-L6,45,,3DMM1511A S/N 011
3D1483A,P1_B4,P1,46,2/15/21,JLP,2,JLP1P1, JLP1P1-L4 ,14,,3DMM1505A S/N 007
3D1216A,P1_B5,P1,39,2/8/21,Node 1,3,NOD1D4,NOD1D4-L2,46,,3DMM1502A S/N 002
