SampleID,chao1,shannon,simpson,observed_features,faith_pd
COL1.F3.R2,144.6875,4.693390084,0.88160056,139,6681.011605
A.L1A1.L1,186.4761905,4.726095766,0.887144,171,7243.222541
COL1O4.L1,153.8,3.953424595,0.82985032,147,6388.67349
COL1A2.R1,94.5,4.699454892,0.9343456,93,5072.790855
COL1O4.R1,156.375,2.613918715,0.64420192,133,6344.213699
JPM1A5.L1,96,1.026203535,0.21759064,76,4431.723553
JPM1A6.L2,139.0909091,5.114728152,0.92531816,132,6482.301857
COL1A4.R2,130.4,5.03911842,0.93172544,126,5984.162422
JPM1A6.R1,173.6666667,5.077208868,0.94193792,157,7400.64652
JLP1A1.L3,170.8,5.436820376,0.9524888,164,6880.488228
COL1D2.R2,128.7142857,4.507154705,0.88399048,124,6464.006348
JPM1D1.L1,174,4.319713051,0.87807848,144,7102.882936
A.L1A1.R1,125.1764706,3.348599339,0.74091784,114,5984.076781
COL1O2.R2,141,5.026323001,0.93736728,124,6142.575476
JPM1F1.L1,156,4.857970546,0.9137892,148,6188.275278
JPM1F1.R1,124.2727273,4.569070704,0.88375168,116,5779.378559
COL1O3.L1,174.0769231,3.841747777,0.8422292,155,7475.135381
COL1O3.R1,137,4.084906169,0.86494896,129,6236.317236
JLP1A1.R4,177.7307692,4.838696041,0.88904224,168,6813.399955
JPM1F4.L1,156.5454545,4.467153637,0.88871288,127,6532.773848
JLP1F1.L2,88.10526316,2.300358243,0.64065208,84,4816.867781
JPM1F5.R1,107.75,4.142125709,0.88272512,106,5753.501113
JPM1F6.L2,148.8947368,3.841879916,0.79690032,126,6185.683657
JPM1F6.R1,65.33333333,0.656872628,0.13369688,54,3354.858018
JPM1O3.L2,163,5.217098271,0.93773488,155,6756.254015
LAB1O6.R2,123.5,3.890114572,0.84296112,116,5530.142192
LAB1D3.L1,116,3.637032525,0.8148212,108,5553.963334
LAB1O2.L2,121.1428571,5.170174439,0.93419592,116,5315.191688
JPM1O4.L1,69,4.128147898,0.8893516,68,3800.477008
LAB1D4.L2,87.5,4.347704154,0.89599688,85,4424.216533
LAB1O2.R2,140.4864865,3.337352161,0.72906024,131,6293.282733
LAB1S6.R1.,128.2727273,4.759727086,0.90609824,120,5375.653028
JPM1O4.R2,105.6470588,4.085702594,0.86626176,103,5824.790098
NOD1O4.L5,225.8888889,4.788439754,0.90601808,194,7775.704499
LAB1S2.R1,130.7142857,5.050033985,0.94137776,126,6959.168791
JPM1O5.L2,184.2222222,4.663697638,0.90878568,167,6932.975634
NOD1O4.L7,224.516129,4.84141414,0.9163244,194,8877.006698
LAB1S2.R2,157.2307692,4.863125433,0.923036,136,5645.757944
LAB1O3.R2,144.8571429,3.152650878,0.79009832,117,5390.326179
LAB1O4.R2,176.1071429,4.951628013,0.90381168,170,6437.678494
NOD1P2.L8,134.6,5.776996168,0.96771624,131,6873.057191
LAB1P4.L1,113.9090909,4.715249279,0.92155672,113,5692.542367
NOD1P4.L7,125.6666667,4.088402179,0.8470056,117,5082.475858
NOD1P2.R1,122.7692308,3.629600214,0.8378676,105,5545.86025
NOD1D4.R7,127.3,4.982761396,0.93764288,124,5711.245369
NOD2D4.L5,138.6666667,4.700471901,0.88652496,130,6329.062468
NOD1P4.L9,208,5.790358778,0.95801032,202,8257.942761
NOD1O4.L9,304.075,4.989019032,0.92231488,229,9117.468642
NOD1S4.L9,162,4.667005884,0.90947944,148,7208.399773
LAB1P6.L2,175.047619,5.227447942,0.93437704,163,7025.140012
NOD1P4.R2,190.375,5.213898439,0.94859136,167,7130.147844
NOD1O4.R1,197.8846154,4.966806539,0.90953032,180,7271.066383
NOD1P2.R5,200.1111111,3.610772694,0.8364564,151,7184.386381
NOD1S4.R1,333.5714286,4.876909972,0.9053536,241,9740.930927
NOD2O2.L2,236.1935484,3.837900821,0.82894128,181,7985.081854
NOD1O4.R10,256.8333333,5.089169701,0.9222108,216,9492.122392
NOD2O4.L6,112.75,4.269994228,0.87230776,109,4880.894656
NOD2D2.R3,180.625,4.359767052,0.83051296,166,7177.297285
NOD2O2.L3,228.0769231,4.0502523,0.81135032,174,7927.582973
NOD1O4.L2,298.46875,5.361967155,0.94885856,223,9022.186736
NOD2O2.L6,148.5652174,4.398533506,0.8549576,147,6721.106968
NOD2O4.R2,240.8857143,4.557136934,0.88896736,203,8892.406553
NOD2D2.R5,124.9285714,4.198655804,0.85417984,121,6144.600074
NOD1P2.R9,171.7142857,5.498983954,0.96050152,155,7371.226272
NOD1P2.L1,222.4642857,4.798221691,0.90593056,196,7701.233433
NOD1P4.R6,136.55,3.097956695,0.72923792,119,4882.681052
NOD2O4.R3,182.0769231,5.977351753,0.96715848,174,7072.529139
NOD1S4.L3,239.516129,5.182059407,0.9379632,200,8082.810342
NOD2O4.R5,122.6875,4.946169646,0.93143224,117,5783.805899
NOD2O2.R3,161.1052632,4.129590867,0.86479536,144,6338.419502
NOD2O4.R6,132.2,4.429769998,0.8537964,127,5787.495459
NOD1S4.L4,118.1111111,5.055435153,0.9458304,112,5557.065842
NOD1S4.R3,161.2142857,4.067272954,0.87106056,128,6026.360224
NOD1P2.L10,160.4,4.702659803,0.92472064,137,6452.622197
NOD2P4.L5,138.6875,3.925694386,0.78913376,133,6346.733917
NOD2P2.L2,117.4285714,3.957337561,0.87389824,98,5008.946688
NOD1S4.R5,97.46153846,3.84105898,0.83694952,94,4958.845853
NOD2O4.L2,162.5172414,3.632124013,0.8180272,142,6403.62155
NOD1S4.L5,113.7692308,2.799636513,0.71579432,96,4937.465277
NOD2S4.L2,142,5.014972422,0.93520448,134,6451.915121
NOD1S2.L3,153.2352941,5.26141696,0.94010408,150,6143.222731
NOD3A4.L5,162.75,5.28640913,0.94035688,150,6653.340453
NOD2O4.L1,210.2222222,4.654872499,0.867028,193,8634.778401
NOD2P4.L1,110.8571429,4.275521031,0.85770368,103,5574.966354
NOD1P2.L3,151.037037,1.727577841,0.39528216,111,5583.893476
NOD3D2.R1,135.1111111,5.420435044,0.95409872,129,5937.029201
NOD2S4.R1,196.5769231,4.624637271,0.88992208,175,8085.392136
NOD1S4.R9,186.047619,5.163699832,0.92179832,177,7059.873725
NOD3A2.L4,175.3913043,4.682191518,0.91212776,151,6574.074592
NOD2S4.R6,154.55,4.701945359,0.9023868,146,7279.380908
NOD3A2.R2,196.1428571,4.43445579,0.87836736,171,7530.084295
NOD2.F4,65.85714286,3.833261485,0.8529284,65,3749.853465
NOD1P4.L6,229.5,4.864277497,0.9236472,187,7611.897983
NOD2S2.L3,115.4375,4.408999806,0.87885216,112,5633.5756
NOD3A5.L1,264.3636364,4.112641988,0.81624304,216,8397.118745
NOD3F5.L6,274.7567568,3.964514001,0.80367424,215,8964.107205
NOD3D4.L4,247.6818182,5.548760609,0.9456088,214,9071.147553
NOD3A2.R3,244.3846154,4.384472961,0.87449616,199,8152.575456
PMM1P1.L3,165,3.872372236,0.853748,136,5802.102958
NOD3F5.R1,149.0666667,4.535267065,0.89720072,140,7143.034133
NOD3F2.L3,185.25,4.25937084,0.89393776,153,7003.883737
NOD3A5.L2,181.7142857,4.01727036,0.82226608,161,7525.775191
PMM1D1.R6,158.8,4.210714028,0.87846168,145,6822.728995
PMM1P1.L4,158.8,4.02434513,0.86329272,145,7151.462212
NOD3O5.R2,260.6326531,3.909123056,0.84368456,207,8766.270223
NOD3F2.R1,110.5,3.849080148,0.85959528,103,5030.864736
NOD3A5.L3,151.7777778,3.405916432,0.81698336,131,5897.245172
NOD3D4.L5,288.2702703,5.559711183,0.94716984,223,9408.96543
NOD3F5.R4,168.625,4.762336064,0.93388272,145,6720.124643
PMM1D1.R8,121.047619,3.589474376,0.84211528,112,5373.366105
NOD3F2.R5,169.1538462,5.29769024,0.9468596,153,7192.747768
NOD3A2.R5,147.6666667,4.615837521,0.88136832,141,6761.376397
NOD3D4.L6,272.516129,6.197785782,0.971354,233,9920.482507
NOD3F4.L1,244.0666667,5.320858673,0.93425296,224,9593.687376
NOD3A2.R6,182.6363636,5.23633277,0.9414936,169,7567.74839
NOD3A5.L6,261.5263158,5.067295023,0.9259996,221,9477.497268
NOD3O4.L2,276.2777778,3.560069286,0.74403144,195,7647.611035
PMM1O1.L6,122.1538462,3.507405008,0.8178724,109,5622.336308
NOD3A4.L1,163.3913043,3.609545569,0.77989592,139,6628.888997
NOD3O5.R4,249.0285714,3.965887129,0.84133296,195,7952.271161
NOD3O5.R6,204.75,4.460749764,0.89231376,176,6927.910254
NOD3D5.L6,239,5.679205131,0.92986992,225,9253.680978
NOD3F5.R6,274.5283019,4.708517954,0.89130016,240,9681.91855
PMM1P1.L8,188.6363636,4.014464804,0.8642752,160,7940.222193
NOD3O4.L3,378.3870968,6.066917224,0.96386424,279,10925.66328
PMM1D1.L3,196.4761905,3.364447519,0.81277928,145,6399.916112
PMM1O1.L7,131.3703704,2.891227548,0.7658096,101,5261.701177
NOD3A5.R4,325.6222222,4.372091571,0.8649152,250,10226.79246
PMM1D1.L6,120.3157895,2.352358987,0.6458236,89,4597.65568
PMM1O1.L8,201.8125,4.355821251,0.84102416,181,8465.578366
NOD3O2.L12,174.6363636,4.590845078,0.87459424,161,7513.484545
NOD3F4.R2,221.75,3.551511764,0.74309648,182,7835.367944
NOD3A4.L2,195.4375,4.625840931,0.91529288,139,5766.623251
NOD3D5.R5,501.0192308,6.489817115,0.97284416,366,12806.41619
NOD3O4.R2,202.1153846,1.990419136,0.48470224,127,6049.658149
NOD3O2.L13,212.0454545,4.414167577,0.88267544,171,7623.010387
NOD3F5.L1,294.4102564,4.490238785,0.86849976,236,9389.740688
PMM1S1.L3,154.3333333,3.675125407,0.84889208,131,6133.083286
NOD3D2.C5,235,5.062627219,0.92358816,196,8155.001492
NOD3O2.L8,246.1071429,4.186879783,0.87565064,195,8103.790506
PMM1O1.R8,119.5714286,4.246353082,0.89694384,114,5323.546187
NOD3A4.L3,216.3414634,4.872501975,0.92973928,184,8341.797841
NOD3D2.C6,173.1666667,3.715364841,0.8035124,142,5926.052213
PMM1P1.L1,178.2142857,4.360564195,0.87590088,155,7631.320643
PMM1S1.R5,245.2631579,3.36680101,0.78985048,178,7797.146771
NOD3O2.R11,205.8888889,4.070316639,0.83688032,177,7553.703318
PMM1D1.R2,175.9642857,3.505829283,0.84353448,139,6638.069983
NOD3F5.L2,281,4.374447381,0.85784064,233,10367.89648
NOD3O2.R8,149.0555556,3.774285589,0.82906112,135,6064.170425
PMM1S1.R8,257.4042553,4.627600262,0.9112788,221,9076.912582
NOD3O4.R5,304.075,4.667302978,0.8758856,229,8596.640457
