#SampleID,faith_pd
P1_A2.mzML,3983.564755
P1_A3.mzML,4296.707288
P1_A4.mzML,4040.372743
P1_A5.mzML,4199.099461
P1_A6.mzML,4461.041793
P1_A7.mzML,4084.102177
P1_A8.mzML,4036.393741
P1_A9.mzML,4299.094605
P1_B1.mzML,3758.121085
P1_B10.mzML,4274.502348
P1_B2.mzML,4565.874862
P1_B3.mzML,3858.063698
P1_B4.mzML,4280.693523
P1_B5.mzML,4191.261987
P1_B6.mzML,3589.397946
P1_B7.mzML,4365.505882
P1_B8.mzML,3915.461398
P1_B9.mzML,4097.891587
P1_C1.mzML,3974.228576
P1_C10.mzML,3720.195928
P1_C2.mzML,3939.502597
P1_C3.mzML,4054.544618
P1_C4.mzML,3754.449783
P1_C5.mzML,4382.899358
P1_C6.mzML,3656.974049
P1_C7.mzML,3845.670665
P1_C8.mzML,3956.5377
P1_C9.mzML,3777.000429
P1_D1.mzML,3369.863888
P1_D10.mzML,3809.413638
P1_D2.mzML,4552.443315
P1_D3.mzML,4461.613277
P1_D4.mzML,4371.907147
P1_D5.mzML,3341.907965
P1_D6.mzML,3822.563542
P1_D7.mzML,4031.849029
P1_D8.mzML,3693.916102
P1_D9.mzML,3977.355942
P1_E1.mzML,3910.612359
P1_E10.mzML,3888.31338
P1_E2.mzML,4849.022122
P1_E3.mzML,3859.126327
P1_E4.mzML,3738.449443
P1_E5.mzML,4341.843052
P1_E6.mzML,4174.868747
P1_E7.mzML,3784.431199
P1_E8.mzML,3762.437804
P1_E9.mzML,3682.538917
P1_F10.mzML,3679.405348
P1_F2.mzML,3864.37251
P1_F3.mzML,4291.366296
P1_F4.mzML,3845.989947
P1_F5.mzML,3634.618798
P1_F6.mzML,4415.132937
P1_F7.mzML,4054.70874
P1_F8.mzML,3745.152551
P1_F9.mzML,4019.632852
P1_G10.mzML,3788.8824
P1_G3.mzML,3860.924833
P1_G4.mzML,4002.689908
P1_G5.mzML,3623.53675
P1_G6.mzML,3699.651233
P1_G7.mzML,4140.274873
P1_G8.mzML,3803.181792
P1_G9.mzML,3687.552851
P1_H10.mzML,3966.126555
P1_H2.mzML,3677.387208
P1_H3.mzML,3958.44315
P1_H4.mzML,3663.409606
P1_H5.mzML,3666.656385
P1_H6.mzML,3598.641365
P1_H7.mzML,3863.523905
P1_H8.mzML,4138.766298
P1_H9.mzML,4027.889585
P10_A10.mzML,4130.298384
P10_A11.mzML,4050.272381
P10_A12.mzML,3917.342076
P10_A2.mzML,4253.327747
P10_A4.mzML,4194.455957
P10_A5.mzML,4624.1439
P10_A6.mzML,4071.168672
P10_A7.mzML,4568.919377
P10_A8.mzML,4017.453385
P10_A9.mzML,4291.461384
P10_B1.mzML,4543.905299
P10_B10.mzML,4141.23277
P10_B11.mzML,4082.206637
P10_B12.mzML,4089.312521
P10_B2.mzML,4102.312471
P10_B4.mzML,4146.603175
P10_B5.mzML,3858.633647
P10_B6.mzML,3968.311858
P10_B7.mzML,4320.192975
P10_B8.mzML,3898.117824
P10_B9.mzML,3829.028142
P10_C1.mzML,4406.218535
P10_C10.mzML,4255.866973
P10_C11.mzML,4148.672493
P10_C12.mzML,4055.282937
P10_C2.mzML,3902.354615
P10_C4.mzML,3915.144134
P10_C5.mzML,3846.876156
P10_C6.mzML,4021.191319
P10_C7.mzML,4028.578638
P10_C8.mzML,4343.152724
P10_C9.mzML,4426.725489
P10_D1.mzML,4383.71762
P10_D10.mzML,3782.114763
P10_D11.mzML,4261.383262
P10_D12.mzML,3860.71009
P10_D2.mzML,3726.310512
P10_D4.mzML,3920.412784
P10_D5.mzML,4084.751373
P10_D6.mzML,4213.213334
P10_D7.mzML,3679.294012
P10_D8.mzML,4028.841243
P10_D9.mzML,4417.658602
P10_E1.mzML,4310.534652
P10_E10.mzML,3936.820413
P10_E11.mzML,3985.093199
P10_E12.mzML,4105.029174
P10_E4.mzML,4213.171433
P10_E5.mzML,3946.242281
P10_E6.mzML,4350.535498
P10_E7.mzML,4122.353208
P10_E8.mzML,4021.320352
P10_E9.mzML,4043.851253
P10_F1.mzML,4272.550098
P10_F10.mzML,4256.587614
P10_F11.mzML,4475.242826
P10_F12.mzML,3957.073303
P10_F4.mzML,4314.405145
P10_F5.mzML,3831.870138
P10_F6.mzML,4212.85404
P10_F7.mzML,3824.523696
P10_F8.mzML,4369.125774
P10_F9.mzML,4083.244778
P10_G1.mzML,4432.059468
P10_G10.mzML,3834.293207
P10_G11.mzML,4114.127925
P10_G12.mzML,3841.774407
P10_G4.mzML,3853.249908
P10_G5.mzML,4242.343546
P10_G6.mzML,3856.921224
P10_G7.mzML,4069.238994
P10_G8.mzML,4284.480733
P10_G9.mzML,4021.345184
P10_H1.mzML,4193.726443
P10_H10.mzML,4014.864249
P10_H11.mzML,3926.726028
P10_H4.mzML,4183.510287
P10_H5.mzML,4149.41373
P10_H6.mzML,4348.079717
P10_H7.mzML,3925.130319
P10_H8.mzML,3887.37791
P10_H9.mzML,4011.515988
P2_A1.mzML,4770.653594
P2_A2.mzML,4247.708899
P2_A3.mzML,4313.192777
P2_A4.mzML,4052.805837
P2_A5.mzML,4551.348243
P2_A6.mzML,4458.035848
P2_A7.mzML,4441.42963
P2_A8.mzML,4143.91648
P2_B1.mzML,3812.449488
P2_B12.mzML,4210.14662
P2_B2.mzML,3845.829052
P2_B3.mzML,4133.794527
P2_B4.mzML,3944.416508
P2_B5.mzML,3994.169575
P2_B6.mzML,4441.355212
P2_B7.mzML,4255.559836
P2_B8.mzML,4775.177926
P2_B9.mzML,4046.576818
P2_C1.mzML,4058.609815
P2_C12.mzML,3999.688564
P2_C2.mzML,4071.170981
P2_C3.mzML,3957.718134
P2_C4.mzML,3723.770417
P2_C5.mzML,3973.30445
P2_C6.mzML,3944.088073
P2_C7.mzML,3620.478338
P2_C8.mzML,3848.06036
P2_C9.mzML,3571.851766
P2_D1.mzML,3747.472456
P2_D12.mzML,3768.357071
P2_D2.mzML,3383.243411
P2_D3.mzML,3921.498806
P2_D4.mzML,3698.279761
P2_D5.mzML,3836.050457
P2_D6.mzML,3662.409544
P2_D7.mzML,3969.334011
P2_D8.mzML,4194.002307
P2_D9.mzML,3846.493096
P2_E12.mzML,4085.214216
P2_E2.mzML,3566.110567
P2_E3.mzML,4220.408509
P2_E4.mzML,3641.860697
P2_E5.mzML,4402.744493
P2_E6.mzML,3700.049655
P2_E7.mzML,4190.400625
P2_E8.mzML,3903.294342
P2_E9.mzML,3641.790504
P2_F1.mzML,3859.730594
P2_F12.mzML,4237.546725
P2_F2.mzML,3795.619208
P2_F3.mzML,3596.117637
P2_F4.mzML,3706.317897
P2_F5.mzML,4420.440397
P2_F6.mzML,3631.098707
P2_F7.mzML,4202.652693
P2_F8.mzML,4515.456806
P2_F9.mzML,3935.244317
P2_G1.mzML,4115.527366
P2_G12.mzML,4116.029707
P2_G2.mzML,4143.048405
P2_G3.mzML,3659.157342
P2_G4.mzML,3787.982084
P2_G5.mzML,4136.951529
P2_G6.mzML,4153.184952
P2_G7.mzML,3796.520023
P2_G8.mzML,4403.030456
P2_G9.mzML,3851.080463
P2_H1.mzML,4815.691049
P2_H12.mzML,4275.927705
P2_H2.mzML,3953.137514
P2_H3.mzML,3727.890817
P2_H4.mzML,4233.541055
P2_H5.mzML,4112.357325
P2_H6.mzML,4073.4908
P2_H7.mzML,4196.988821
P2_H8.mzML,4526.445837
P2_H9.mzML,4206.656156
P3_A1.mzML,4306.365582
P3_A11.mzML,4518.41465
P3_A12.mzML,4334.613919
P3_A2.mzML,4119.991138
P3_A3.mzML,4004.336937
P3_A4.mzML,3894.602888
P3_A5.mzML,4744.025833
P3_A6.mzML,3970.327609
P3_A7.mzML,4125.351289
P3_A8.mzML,4353.025071
P3_B1.mzML,4630.64607
P3_B11.mzML,4032.026596
P3_B12.mzML,4191.564312
P3_B2.mzML,4242.972354
P3_B3.mzML,4016.991178
P3_B4.mzML,3839.808434
P3_B5.mzML,3643.255099
P3_B6.mzML,4023.689682
P3_B7.mzML,3817.992582
P3_B8.mzML,4049.836254
P3_C1.mzML,4107.001465
P3_C11.mzML,4378.869018
P3_C12.mzML,4368.63504
P3_C2.mzML,3630.90003
P3_C3.mzML,3703.567386
P3_C4.mzML,3999.378533
P3_C5.mzML,3435.346419
P3_C6.mzML,4033.903951
P3_C7.mzML,4115.585709
P3_C8.mzML,3731.229943
P3_D1.mzML,4281.450965
P3_D11.mzML,4211.827369
P3_D12.mzML,4230.212039
P3_D2.mzML,4146.244363
P3_D3.mzML,4345.026881
P3_D4.mzML,4027.042243
P3_D5.mzML,3985.022501
P3_D6.mzML,4047.375197
P3_D7.mzML,3584.222623
P3_D8.mzML,3926.885605
P3_E1.mzML,3860.003658
P3_E11.mzML,3887.344074
P3_E12.mzML,3896.551634
P3_E2.mzML,3920.287288
P3_E3.mzML,4305.24654
P3_E4.mzML,4132.110904
P3_E5.mzML,4067.014717
P3_E6.mzML,4057.618697
P3_E7.mzML,4760.566372
P3_E8.mzML,3843.327438
P3_F1.mzML,4207.632432
P3_F11.mzML,4755.889297
P3_F12.mzML,4777.8903
P3_F2.mzML,5023.163155
P3_F3.mzML,4329.543245
P3_F4.mzML,4043.710577
P3_F5.mzML,4204.886422
P3_F6.mzML,4107.34401
P3_F7.mzML,3520.542932
P3_F8.mzML,4137.168825
P3_G11.mzML,4302.492477
P3_G12.mzML,5138.580766
P3_G2.mzML,3929.499736
P3_G3.mzML,3934.417717
P3_G4.mzML,4299.880091
P3_G5.mzML,2029.949482
P3_G6.mzML,4160.630316
P3_G7.mzML,3660.918556
P3_G8.mzML,4482.744565
P3_H11.mzML,3858.402305
P3_H2.mzML,4334.514147
P3_H3.mzML,4047.79191
P3_H4.mzML,3988.92505
P3_H5.mzML,3946.252835
P3_H6.mzML,4081.794924
P3_H7.mzML,4078.944336
P3_H8.mzML,4164.560087
P4_A1.mzML,3940.311955
P4_A10.mzML,4157.41404
P4_A11.mzML,3794.725291
P4_A12.mzML,4272.239211
P4_A2.mzML,3673.193235
P4_A3.mzML,3844.604538
P4_A4.mzML,4075.98863
P4_A5.mzML,3838.798748
P4_A6.mzML,4036.024881
P4_A7.mzML,4517.69823
P4_B1.mzML,4425.481558
P4_B10.mzML,3217.400324
P4_B11.mzML,3652.786532
P4_B12.mzML,4451.16918
P4_B2.mzML,4313.645305
P4_B4.mzML,3679.328866
P4_B5.mzML,3887.514251
P4_B6.mzML,4097.297959
P4_B7.mzML,3477.362691
P4_C1.mzML,4415.741629
P4_C10.mzML,3696.048196
P4_C11.mzML,3544.773112
P4_C12.mzML,4046.085026
P4_C2.mzML,4061.956085
P4_C3.mzML,3482.738689
P4_C4.mzML,4063.444292
P4_C5.mzML,4001.887398
P4_C6.mzML,3736.587627
P4_C7.mzML,3858.10844
P4_D1.mzML,4520.87147
P4_D10.mzML,4159.495204
P4_D11.mzML,3806.328872
P4_D12.mzML,3739.036263
P4_D2.mzML,3749.873412
P4_D3.mzML,3729.410537
P4_D4.mzML,3998.8548
P4_D5.mzML,3774.484538
P4_D6.mzML,4037.199704
P4_D7.mzML,4176.97439
P4_E1.mzML,4140.453327
P4_E10.mzML,3966.993425
P4_E11.mzML,3962.699084
P4_E12.mzML,3922.687384
P4_E2.mzML,3891.593791
P4_E3.mzML,3837.98573
P4_E4.mzML,3757.515967
P4_E5.mzML,3526.03262
P4_E6.mzML,3701.021696
P4_E7.mzML,3820.367604
P4_F1.mzML,4175.167503
P4_F10.mzML,4017.095893
P4_F11.mzML,4106.996654
P4_F12.mzML,4803.75878
P4_F2.mzML,4222.103382
P4_F3.mzML,3925.764098
P4_F4.mzML,3760.509553
P4_F5.mzML,3643.042931
P4_F6.mzML,3622.280672
P4_F7.mzML,3579.659496
P4_G1.mzML,4673.399452
P4_G10.mzML,3860.121418
P4_G11.mzML,3770.556147
P4_G12.mzML,4129.987653
P4_G2.mzML,3921.868394
P4_G3.mzML,4105.951358
P4_G4.mzML,3835.001143
P4_G5.mzML,3904.933007
P4_G6.mzML,4489.139317
P4_G7.mzML,3888.05979
P4_H1.mzML,4193.666399
P4_H10.mzML,4259.639388
P4_H11.mzML,4133.970908
P4_H12.mzML,4021.143427
P4_H2.mzML,4183.956585
P4_H3.mzML,4203.906648
P4_H4.mzML,4310.197123
P4_H5.mzML,3715.713063
P4_H6.mzML,3718.873784
P4_H7.mzML,4219.630278
P5_A1.mzML,4232.185021
P5_A10.mzML,3890.218186
P5_A11.mzML,4682.838489
P5_A12.mzML,4864.215707
P5_A2.mzML,4355.061789
P5_A3.mzML,3560.108755
P5_A4.mzML,4345.045096
P5_A5.mzML,4048.290039
P5_A6.mzML,3896.431816
P5_A9.mzML,4215.388439
P5_B1.mzML,4378.10867
P5_B10.mzML,4102.75675
P5_B11.mzML,4404.067714
P5_B12.mzML,4617.906368
P5_B2.mzML,4197.588115
P5_B3.mzML,3502.701221
P5_B4.mzML,3757.459603
P5_B5.mzML,4053.912963
P5_B6.mzML,3776.694138
P5_B9.mzML,3890.591735
P5_C1.mzML,4381.197608
P5_C10.mzML,3658.349239
P5_C11.mzML,3759.362908
P5_C12.mzML,4523.495637
